px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	0	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	1.03951e-320
8.4485	0.251375	-0.000719145	1.84856e-17	0	8.44818	0.251553	8.45	0.25	-3.00027	0	0.000275959
8.47145	0.248799	-0.00552263	3.19967e-06	3.54907e-07	8.56759	0.241943	8.45	0.25	0	0	0.125985
8.46434	0.250982	-0.00837303	-2.05412e-05	-2.90425e-06	8.45582	0.253997	8.45	0.25	0	0	0.00655046
8.3766	0.251326	-0.891871	0.00139903	0.000348022	8.42544	0.254042	8.35	0.25	-1.81979	0	19.9465
8.31269	0.250631	-0.912747	0.00314554	0.000761303	8.23962	0.24916	8.25	0.25	-1.81978	0	0.349864
8.10949	0.23467	-1.31104	0.181297	0.054772	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	30.2317
8.01267	0.204196	-1.35664	0.290867	0.0832968	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	1.91346
7.82553	0.342798	-1.64057	-1.27115	-0.548743	7.61269	0.155818	7.7	0.15	-2.99982	0	18.6886
7.72041	0.2839	-1.69842	-0.585787	-0.286221	7.54016	0.159641	7.55	0.15	-2.99982	0	3.46729
7.58087	0.198807	-1.7526	0.116665	0.0959313	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	1.56729
7.46008	0.138338	-1.75196	0.250135	0.1085	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	1.48059
7.31552	0.198597	-2.0282	-0.10827	-0.434089	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	10.3115
7.17794	0.114995	-2.04808	0.075904	-0.277062	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	2.83606
7.06698	0.0431933	-2.01072	0.199383	-0.1149	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	2.93971
6.94501	-0.0912836	-2.03451	0.424542	0.200911	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	2.5733
6.83469	-0.141243	-2.07836	0.391684	0.00249574	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	2.08424
6.7292	-0.272635	-2.12378	0.551057	0.217762	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	2.75929
6.68365	-0.453861	-2.12376	0.930785	1.04998	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	4.33887
6.61631	-0.567116	-2.14878	1.01783	1.08158	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.573491
6.57864	-0.724825	-2.18993	1.23311	1.39934	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	1.53122
6.53243	-0.877991	-2.22982	1.3299	1.37642	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	1.9421
6.42014	-0.954039	-2.16999	1.10294	0.696917	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	8.19725
6.34984	-1.09097	-2.21019	1.13718	0.652888	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	1.81695
6.46042	-1.29809	-2.29539	1.61926	1.51947	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	30.9934
6.45233	-1.45868	-2.34301	1.69494	1.47667	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	2.48293
6.38413	-1.56146	-2.26671	1.55665	1.06459	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	11.3854
6.35705	-1.71538	-2.32197	1.58666	1.00462	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	3.57538
6.41771	-1.8698	-2.41047	1.77288	1.23287	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	8.66438
6.4225	-2.02397	-2.45866	1.81274	1.1865	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	2.73158
6.40794	-2.16742	-2.44061	1.79111	1.03914	6.32593	-2.40018	6.35	-2.4	0	-2.72613	4.33637
6.41583	-2.33685	-2.48882	1.82096	0.99233	6.34927	-2.55175	6.35	-2.55	0	-2.72611	2.70286
6.46561	-2.49139	-2.5392	1.90265	1.03448	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	2.34458
6.49021	-2.65827	-2.58074	1.93183	0.994216	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	2.0179
6.49906	-2.79297	-2.56615	1.92498	0.90908	6.46536	-3.00452	6.45	-3	0	-2.99754	2.85467
