px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
66.3071	23.9868	3.05687	0.316168	0.0763839	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	1.16508
66.2188	23.9613	2.63559	0.295249	0.0465723	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.48489
68.2629	24.3614	2.62449	0.179886	-0.0566745	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.0342201
68.3494	24.3933	2.68217	0.188959	-0.0456923	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.99169
70.8118	24.8791	2.82456	0.244192	0.0188383	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.289051
70.7801	24.8657	2.54554	0.205972	-0.0395283	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.61937
72.8914	24.7194	2.5678	-0.176892	-0.256308	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.133731
72.9411	24.7361	2.57078	-0.180051	-0.269401	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.683212
75.0149	25.2408	2.18478	0.280621	0.188766	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	1.06432
75.0011	25.2364	2.1608	0.275372	0.184308	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0488617
77.1114	24.9435	2.25309	-0.361036	-0.337391	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	0.798561
77.136	24.9501	2.24434	-0.379413	-0.365569	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.184994
79.1058	25.0111	1.88824	0.0637854	0.150655	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.4355
79.116	25.0136	1.90339	0.0712679	0.15914	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.0246006
80.7999	24.8732	1.99796	-0.0363097	-0.00918841	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.118918
80.8503	24.8798	1.86361	-0.111198	-0.13209	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.25204
82.596	24.6373	2.06213	-0.0970295	-0.0380448	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.35105
82.5744	24.626	1.8978	-0.193419	-0.197165	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.354136
