Kp:	0.2	Ki:	0	Kd:	0.4
cte	steer_value
0.4184	-0.07884	13.8194
0.4057	-0.07606	13.8862
0.3859	-0.06926	13.3462
0.372	-0.06884	13.3875
0.3501	-0.06126	13.9664
0.3351	-0.06102	13.9367
0.3196	-0.05772	14.023
0.2961	-0.04982	13.512
0.2798	-0.04944	13.4988
0.2548	-0.04096	14.1426
0.238	-0.04088	14.141
0.2126	-0.03236	13.6596
0.1865	-0.02686	14.1809
0.1691	-0.02686	14.2213
0.1431	-0.01822	13.7173
0.1257	-0.01818	13.7523
0.1083	-0.0147	13.7634
0.0822	-0.006	14.3504
0.065	-0.00612	14.3835
0.048	-0.0028	14.3575
0.0312	0.00048	14.4492
0.0065	0.00858	13.9132
-0.0099	0.00854	13.9518
-0.0258	0.01152	13.9885
-0.0492	0.0192	14.5157
-0.0633	0.0183	14.5569
-0.082	0.02388	14.0601
-0.0938	0.02348	14.0919
-0.0998	0.02236	14.1168
-0.1069	0.02422	14.1619
-0.1081	0.0221	14.6899
-0.1074	0.0212	14.7571
-0.1054	0.02028	14.2661
-0.1026	0.0194	14.7852
-0.099	0.01836	14.2995
-0.0945	0.0171	14.8697
-0.091	0.0168	14.8746
-0.0872	0.01592	14.9216
-0.0809	0.01366	14.4178
-0.0763	0.01342	14.4351
-0.0687	0.0107	14.9993
-0.0632	0.01044	15.0253
-0.0546	0.00748	14.5219
-0.0453	0.00534	15.0843
-0.0388	0.00516	15.1097
-0.0321	0.00374	15.1238
-0.0216	0.00012	14.6356
-0.0144	-4.33681e-19	14.6593
-0.007	-0.00156	14.6743
0.0006	-0.00316	14.6917
0.0123	-0.00714	15.2496
0.0203	-0.00726	15.2729
0.0323	-0.01126	14.7747
0.0404	-0.01132	14.7995
0.0486	-0.013	14.8209
0.061	-0.01716	15.3692
0.0692	-0.01712	15.3879
0.0775	-0.01882	15.4093
0.0897	-0.02282	14.918
0.0978	-0.0228	14.9368
0.1139	-0.02922	14.9777
0.1257	-0.02986	15.5254
0.1334	-0.02976	15.545
0.1409	-0.03118	15.5637
0.1517	-0.03466	15.0733
0.1588	-0.0346	15.0921
0.1656	-0.03584	15.1113
0.1755	-0.03906	15.6581
0.1818	-0.03888	15.6765
0.1906	-0.04164	15.1863
0.1962	-0.04148	15.2047
0.2041	-0.04398	15.75
0.2089	-0.0437	15.7681
0.2155	-0.04574	15.2781
0.2195	-0.0455	15.2966
0.2232	-0.04612	15.3143
0.2281	-0.04758	15.8581
0.2321	-0.04802	15.3685
0.2354	-0.0484	15.9106
0.2371	-0.0481	15.9287
0.2384	-0.0482	15.9455
0.2397	-0.04846	15.4564
0.2401	-0.04818	15.4745
0.24	-0.04796	16.0145
0.2403	-0.04818	16.0324
0.2439	-0.05022	15.5437
0.251	-0.05304	16.0824
0.2577	-0.05422	16.1001
0.2659	-0.05646	16.1158
0.2807	-0.06206	15.6274
0.2911	-0.06238	15.6454
0.3057	-0.06698	16.1814
0.3188	-0.069	15.6935
0.3268	-0.06856	15.7118
0.3375	-0.07178	16.2459
0.3467	-0.07302	15.7583
0.3543	-0.0739	16.2965
0.3585	-0.07338	16.3092
0.3634	-0.07464	15.8221
0.3658	-0.07412	15.8415
0.368	-0.07448	16.3717
0.3685	-0.0739	16.3913
0.368	-0.0734	15.905
0.3668	-0.07288	15.9162
0.3635	-0.07138	16.4534
0.3605	-0.0709	16.4636
0.3568	-0.06988	16.484
0.35	-0.06728	15.9989
0.3446	-0.06676	16.0083
0.3385	-0.06526	16.0293
0.3283	-0.06158	16.5539
0.3207	-0.0611	16.5744
0.3084	-0.05676	16.0898
0.2995	-0.05634	16.0988
0.2851	-0.05126	16.6333
0.2698	-0.04784	16.1491
0.2478	-0.04076	16.1785
0.2362	-0.0426	16.1873
0.2183	-0.0365	16.7197
0.1999	-0.03262	16.2365
0.1873	-0.03242	16.2452
0.1745	-0.02978	16.2652
0.1549	-0.02314	16.785
0.1417	-0.02306	16.8039
0.122	-0.01652	16.3216
0.102	-0.0124	16.8404
0.0823	-0.00858	16.3581
0.0692	-0.0086	16.3769
0.0563	-0.0061	16.3858
0.0371	0.00026	16.9123
0.0246	8e-05	16.9219
0.0065	0.00594	16.4407
-0.0053	0.00578	16.4578
-0.0225	0.01138	16.9751
-0.0386	0.01416	16.4947
-0.054	0.01696	17.0165
-0.0637	0.01662	17.0273
-0.0728	0.0182	17.0419
-0.0855	0.02218	16.5626
-0.0969	0.02394	17.0787
-0.1033	0.02322	16.5999
-0.1057	0.0221	16.6139
-0.1013	0.0185	17.1291
-0.0908	0.01396	16.6513
-0.0817	0.0127	16.6647
-0.0656	0.00668	17.1789
-0.0544	0.0064	17.1916
-0.0371	0.0005	16.715
-0.0251	0.00022	16.7273
-0.0067	-0.00602	17.2402
0.0059	-0.00622	17.2522
0.0248	-0.01252	16.7767
0.0442	-0.0166	17.2881
0.0635	-0.02042	16.8133
0.0764	-0.02044	16.8252
0.0957	-0.02686	17.3354
0.1147	-0.03054	16.8614
0.1272	-0.03044	16.8726
0.1456	-0.03648	17.3813
0.1634	-0.0398	16.9084
0.1807	-0.04306	17.415
0.1917	-0.04274	17.4264
0.2075	-0.04782	16.9545
0.2175	-0.0475	16.9656
0.2318	-0.05208	17.4708
0.2406	-0.05164	17.4817
0.2529	-0.0555	17.0111
0.2605	-0.05514	17.0223
0.2709	-0.05834	17.5251
0.2798	-0.05952	17.0557
0.2851	-0.05914	17.0667
0.2918	-0.06104	17.568
0.2971	-0.06154	17.0995
0.301	-0.06176	17.5997
0.3034	-0.06164	17.132
0.3042	-0.06116	17.631
0.304	-0.06072	17.6413
0.3032	-0.06032	17.6517
0.3007	-0.05914	17.1854
0.2982	-0.05864	17.1959
0.2934	-0.05676	17.6926
0.2894	-0.05628	17.7027
0.2824	-0.05368	17.2378
0.277	-0.05324	17.2482
0.2711	-0.05186	17.2585
0.2611	-0.04822	17.7529
0.2539	-0.0479	17.7627
0.2423	-0.04382	17.2995
0.2296	-0.04084	17.7923
0.2161	-0.03782	17.3298
0.2017	-0.03458	17.8214
0.1918	-0.0344	17.831
0.1817	-0.0323	17.8406
0.1661	-0.02698	17.3795
0.1554	-0.0268	17.3893
0.1391	-0.0213	17.8785
0.1227	-0.01798	17.4185
0.1101	-0.01698	17.9065
0.1081	-0.02082	17.9157
0.113	-0.02456	17.457
0.1131	-0.02266	17.9432
0.1237	-0.02898	17.9523
0.1439	-0.03686	17.4944
0.164	-0.04084	17.9793
0.1769	-0.04054	17.988
0.1954	-0.04648	17.5314
0.2073	-0.04622	17.5407
0.2243	-0.05166	18.0231
0.235	-0.05128	18.0318
0.2499	-0.05594	17.5765
0.2638	-0.05832	18.0575
0.2722	-0.0578	18.066
0.28	-0.05912	18.0744
0.2904	-0.06224	17.6209
0.2966	-0.0618	17.6296
0.302	-0.06256	17.6383
0.3089	-0.06454	18.1164
0.3126	-0.064	18.1247
0.3167	-0.06498	17.673
0.3185	-0.06442	17.6815
0.3196	-0.06436	17.6901
0.3198	-0.06404	18.1657
0.3184	-0.06312	17.7155
0.3165	-0.06254	17.7239
0.3124	-0.06084	18.198
0.3087	-0.06026	18.2061
0.302	-0.05772	17.7575
0.2937	-0.05542	18.23
0.2841	-0.05298	17.7822
0.273	-0.05016	18.2536
0.2608	-0.04728	17.8068
0.2473	-0.04406	18.277
0.2328	-0.04076	17.8311
0.2174	-0.03732	18.3001
0.2067	-0.03706	18.3077
0.1901	-0.03138	17.863
0.1786	-0.03112	17.871
0.161	-0.02516	18.3378
0.149	-0.025	18.3453
0.1309	-0.01894	17.9022
0.1063	-0.01142	17.9176
0.094	-0.01388	17.9253
0.0819	-0.01154	17.9331
0.067	-0.00744	18.3963
0.0577	-0.00782	17.9554
0.0498	-0.0068	18.4178
0.0483	-0.00906	17.9778
0.0479	-0.00942	17.9852
0.0477	-0.00946	17.9927
0.0477	-0.00954	18.4529
0.0479	-0.00966	18.0145
0.0484	-0.00988	18.4737
0.0488	-0.00992	18.4805
0.0498	-0.01036	18.0435
0.0505	-0.01038	18.0507
0.0519	-0.01094	18.5077
0.053	-0.01104	18.5144
0.0554	-0.01204	18.5277
0.0568	-0.01192	18.5344
0.059	-0.01268	18.1
0.0614	-0.01324	18.5541
0.064	-0.01384	18.1207
0.0658	-0.01388	18.1275
