Kp:	0.1	Ki:	0	Kd:	0.4
cte	steer_value
0.0377	-0.00069	7.8467
0.0301	3e-05	7.8711
0.025	-0.00046	7.8873
0.0176	0.0012	7.9115
0.0103	0.00189	7.9355
0.0032	0.00252	7.9594
-0.0015	0.00203	7.9752
-0.0084	0.0036	7.9988
-0.0152	0.00424	8.0223
-0.0197	0.00377	8.0379
-0.0262	0.00522	8.0611
-0.0304	0.00472	8.0765
-0.0367	0.00619	8.0995
-0.0427	0.00667	8.1223
-0.0467	0.00627	8.1375
-0.0525	0.00757	8.1601
-0.0561	0.00705	8.1751
-0.0606	0.00786	8.1975
-0.0637	0.00761	8.2197
-0.0655	0.00727	8.2418
-0.066	0.0068	8.2638
-0.0659	0.00655	8.2784
-0.0641	0.00569	8.3001
-0.061	0.00486	8.3218
-0.0583	0.00475	8.3361
-0.0532	0.00328	8.3575
-0.0468	0.00212	8.3787
-0.0395	0.00103	8.3999
-0.0321	0.00025	8.4209
-0.0271	0.00071	8.4348
-0.0195	-0.00109	8.4556
-0.0118	-0.0019	8.4762
-0.0039	-0.00277	8.4968
0.0041	-0.00361	8.5172
0.0121	-0.00441	8.5374
0.0175	-0.00391	8.5509
0.0257	-0.00585	8.571
0.0341	-0.00677	8.5909
0.0396	-0.00616	8.6041
0.0481	-0.00821	8.6238
0.0566	-0.00906	8.6435
0.0652	-0.00996	8.6629
0.0709	-0.00937	8.6759
0.0795	-0.01139	8.6952
0.0853	-0.01085	8.7079
0.0941	-0.01293	8.727
0.0999	-0.01231	8.7397
0.1087	-0.01439	8.7586
0.1175	-0.01527	8.7773
0.1233	-0.01465	8.7898
0.1321	-0.01673	8.8084
0.1409	-0.01761	8.8268
0.1497	-0.01849	8.8452
0.1585	-0.01937	8.8634
0.1643	-0.01875	8.8755
0.1731	-0.02083	8.8936
0.1817	-0.02161	8.9115
0.1904	-0.02252	8.9293
0.1961	-0.02189	8.9411
0.2047	-0.02391	8.9588
0.2131	-0.02467	8.9763
0.2216	-0.02556	8.9937
0.2299	-0.02631	9.011
0.2354	-0.02574	9.0225
0.2435	-0.02759	9.0396
0.2516	-0.0284	9.0567
0.2596	-0.02916	9.0736
0.2674	-0.02986	9.0904
0.2726	-0.02934	9.1016
0.2777	-0.02981	9.1127
0.2853	-0.03157	9.1292
0.2927	-0.03223	9.1457
0.2976	-0.03172	9.1566
0.3048	-0.03336	9.1729
0.3095	-0.03283	9.1837
0.3164	-0.0344	9.1999
0.3231	-0.03499	9.2159
0.3276	-0.03456	9.2266
0.334	-0.03596	9.2424
0.3382	-0.0355	9.253
0.3444	-0.03692	9.2686
0.3503	-0.03739	9.2843
0.3561	-0.03793	9.2998
0.3599	-0.03751	9.31
0.3653	-0.03869	9.3254
0.3688	-0.03828	9.3356
0.3739	-0.03943	9.3508
0.3788	-0.03984	9.3658
0.3834	-0.04018	9.3808
0.3864	-0.03984	9.3908
0.3906	-0.04074	9.4057
0.3947	-0.04111	9.4204
0.3985	-0.04137	9.4351
0.4009	-0.04105	9.4448
0.4043	-0.04179	9.4593
0.4064	-0.04148	9.469
0.4094	-0.04214	9.4833
0.4122	-0.04234	9.4976
0.4147	-0.04247	9.5118
0.4169	-0.04257	9.5259
0.4189	-0.04269	9.5399
0.4206	-0.04274	9.5538
0.4221	-0.04281	9.5677
0.423	-0.04266	9.5768
0.424	-0.0428	9.5905
0.4248	-0.0428	9.6041
0.4253	-0.04273	9.6132
0.4256	-0.04268	9.6266
0.4258	-0.04266	9.64
0.4256	-0.04248	9.6533
0.4252	-0.04236	9.6666
0.4246	-0.04222	9.6797
0.4237	-0.04201	9.6928
0.4226	-0.04182	9.7058
0.4217	-0.04181	9.7144
0.4201	-0.04137	9.7272
0.4183	-0.04111	9.74
0.4167	-0.04103	9.7527
0.4163	-0.04147	9.7653
0.4167	-0.04183	9.7736
0.4184	-0.04252	9.7861
