Kp:	0.3	Ki:	0.0075	Kd:	0.6
cte	steer_value
0.0485	-0.0315649	37.5332
0.0473	-0.0306624	37.6646
0.0423	-0.0214722	37.7952
0.0369	-0.0285259	37.8818
0.0265	-0.00668819	38.011
0.0133	-0.0040829	38.1394
-0.0017	-0.00106358	38.2668
-0.0122	-0.0235049	38.3512
-0.0282	0.0137516	38.4773
-0.0448	0.00744713	38.6026
-0.0558	-0.0170526	38.6854
-0.071	0.0173711	38.8092
-0.0855	0.00848443	38.9325
-0.0944	-0.012913	39.0139
-0.1056	0.0129089	39.1358
-0.1122	-0.00978491	39.2167
-0.1149	-0.0152681	39.3372
-0.0758	-0.193891	39.4573
0.0009	-0.271864	39.5768
0.0503	-0.0653859	39.6351
0.1085	-0.171578	39.7005
0.1393	-0.0425602	39.7774
0.1725	-0.12339	39.8857
0.1875	-0.0473136	39.9632
0.1984	-0.0753267	40.0771
0.1988	-0.0437458	40.1546
0.194	-0.0469214	40.2315
0.1782	-0.0112643	40.3466
0.153	0.00649899	40.4609
0.132	-0.0328234	40.5362
0.0967	0.0435034	40.6479
0.0563	0.0397994	40.7596
0.0143	0.0397442	40.8675
-0.0264	0.0367907	40.9759
-0.0519	-0.0216582	41.0481
-0.0872	0.064072	41.1565
-0.1173	0.0272974	41.2647
-0.1215	-0.073397	41.3691
-0.1122	-0.0711971	41.4405
-0.0981	-0.0572575	41.5424
-0.0862	-0.0351854	41.6455
-0.0798	-0.0161997	41.7152
-0.0716	-0.0386407	41.8204
-0.0645	-0.0317773	41.9251
-0.059	-0.0279729	42.0289
-0.0556	-0.0232517	42.1323
-0.0544	-0.0190076	42.2009
-0.0539	-0.0215001	42.3032
-0.0544	-0.0189765	42.3711
-0.0562	-0.0153203	42.4724
-0.0581	-0.0175996	42.5395
-0.0616	-0.0102663	42.6397
-0.0659	-0.00956846	42.7393
-0.0683	-0.0193319	42.8053
-0.0537	-0.0914384	42.9039
0.0474	-0.445906	43.0019
0.1299	-0.172801	43.0945
0.1729	-0.0367317	43.0561
0.2189	-0.154926	43.135
0.2504	-0.0994728	43.2308
0.2625	-0.0527812	43.2898
0.2666	-0.0685296	43.3849
0.2562	-0.0274614	43.4806
0.2417	-0.0440533	43.5438
0.2107	0.0199911	43.6381
0.1691	0.0330953	43.7317
0.1373	-0.0324712	43.7923
0.0869	0.0783444	43.8819
0.051	-0.0205002	43.9427
-0.0017	0.0932374	44.0269
-0.054	0.0642236	44.1169
-0.1018	0.0518621	44.1991
-0.1293	-0.0202781	44.257
-0.1641	0.0674969	44.3451
-0.1933	0.0360638	44.4333
-0.2088	-0.00764098	44.49
-0.2246	0.0308944	44.5774
-0.2317	-0.0026949	44.665
-0.2367	0.0107649	44.7226
-0.1449	-0.419948	44.7805
-0.0083	-0.410424	44.8668
0.1141	-0.247051	44.8027
0.1775	-0.0264559	44.7772
0.2471	-0.208952	44.8383
0.2958	-0.12525	44.9197
0.3156	-0.0537402	44.9668
0.3244	-0.0812546	45.0231
0.3211	-0.0612383	45.1091
0.2989	-0.00733154	45.194
0.2741	-0.0397438	45.2505
0.2254	0.0623594	45.3333
0.1664	0.0601147	45.4162
0.1469	-0.1376	45.4916
0.1501	-0.146298	45.5428
0.1457	-0.0517553	45.6068
0.1341	-0.031763	45.6505
0.1066	0.0239778	45.7305
0.0694	0.0336967	45.811
0.0266	0.0397543	45.889
-0.0033	-0.026133	45.9404
-0.048	0.0760111	46.0172
-0.0937	0.0566052	46.095
-0.1366	0.047912	46.1671
-0.1617	-0.0179539	46.217
-0.1561	-0.109209	46.2929
-0.0244	-0.605677	46.3692
0.0595	-0.108952	46.4128
0.1642	-0.307701	46.2622
0.2202	-0.0652751	46.2919
0.279	-0.201339	46.3163
0.3032	-0.059143	46.3657
0.3159	-0.0948451	46.4309
0.3033	-0.0176222	46.508
0.2681	0.0234948	46.5841
0.2139	0.0567504	46.6592
0.1702	-0.0311717	46.7068
0.0986	0.123887	46.7744
0.0191	0.108649	46.8471
-0.0609	0.102005	46.9036
-0.1107	-0.0227096	46.9453
-0.1779	0.137395	47.0111
-0.2395	0.0901045	47.081
-0.275	-0.0053313	47.1193
-0.3165	0.0923387	47.1865
-0.3473	0.0438169	47.2573
-0.3597	-0.00791078	47.301
-0.3108	-0.236762	47.3711
-0.1658	-0.532079	47.4414
-0.0244	-0.302983	47.4565
0.0901	-0.196618	47.3302
0.168	-0.115477	47.3467
0.2123	-0.070304	47.4109
0.2267	-0.0309637	47.4829
0.2151	0.00547154	47.5545
0.2284	-0.174069	47.6238
0.3129	-0.44715	47.6682
0.4324	-0.450267	47.7202
0.509	-0.182928	47.6426
0.5268	-0.0262377	47.5868
0.4914	0.0628799	47.6533
0.4455	-0.0225999	47.6988
0.355	0.150656	47.7495
0.2411	0.164171	47.8161
0.1153	0.174646	47.8531
-0.0098	0.16155	47.8936
-0.1218	0.124892	47.9383
-0.104	-0.41135	47.973
0.0344	-0.651695	48.0336
0.1671	-0.341338	47.9282
0.2396	-0.0820607	47.8074
0.318	-0.265098	47.7677
0.368	-0.150012	47.8329
0.3857	-0.0814102	47.8672
0.3691	-0.0125764	47.9317
0.3864	-0.252564	48.0007
0.475	-0.507783	48.0664
0.5351	-0.222307	48.0914
0.5429	-0.0515861	47.981
0.4975	0.0580895	48.0312
0.4443	-0.0362231	48.077
0.3427	0.16219	48.1276
0.2169	0.173033	48.1922
0.0795	0.181916	48.2222
-0.0117	-0.0347936	48.2446
-0.1416	0.264915	48.2828
-0.2681	0.191892	48.339
-0.3747	0.127951	48.3476
-0.2463	-0.869424	48.3918
0.0228	-0.971082	48.4519
0.2965	-0.664172	48.2518
0.4705	-0.223032	48.0726
0.7043	-0.761912	47.8239
0.9052	-0.537315	47.852
1.0572	-0.42495	47.6533
1.1209	-0.178568	47.5791
1.1583	-0.29461	47.5851
1.1711	-0.274709	47.6598
1.2118	-0.472971	47.6966
1.225	-0.299749	47.7566
1.1644	-0.0321199	47.7169
1.0822	-0.10661	47.7518
0.914	0.229326	47.822
0.7752	-0.0844965	47.8698
0.5466	0.398965	47.8551
0.3747	-0.025129	47.9091
0.376	-0.662522	47.8567
0.3891	-0.298003	47.9049
0.3554	-0.0272125	47.6411
0.2761	0.0790934	47.6265
0.1624	0.13261	47.6933
0.0753	-0.0580598	47.7287
-0.0622	0.242455	47.7699
-0.2109	0.204926	47.8316
-0.31	-0.026952	47.8365
-0.4476	0.282279	47.8675
-0.6215	0.393123	47.9482
-0.6992	-0.100583	47.9484
-0.7153	-0.142489	47.8972
-0.5249	-0.909804	47.9269
-0.3214	-0.501148	47.9611
-0.1303	-0.410195	47.7514
-0.0204	-0.101102	47.6204
0.1092	-0.405542	47.5805
0.2052	-0.247478	47.6462
0.2578	-0.146648	47.6282
0.2653	-0.0620816	47.6648
0.242	-0.0404921	47.7371
0.1831	0.0421463	47.8078
0.1178	-0.00933752	47.8767
0.1024	-0.246387	47.9365
0.0931	-0.15522	47.9801
0.0531	0.00949356	47.9977
-0.0195	0.0941157	48.0522
-0.1151	0.129389	48.1158
-0.1857	-0.0266741	48.1496
-0.2936	0.210888	48.1945
-0.3099	-0.26696	48.2562
-0.2406	-0.441096	48.28
-0.1964	-0.119585	48.2613
-0.156	-0.151408	48.152
-0.1432	-0.0456799	48.2036
-0.1545	-0.00459649	48.2616
-0.2178	0.171574	48.3693
-0.2746	0.0267015	48.4327
-0.3323	0.0475006	48.4594
-0.3694	-0.0354638	48.4988
-0.4234	0.0983085	48.5603
-0.4774	0.0741612	48.6208
-0.5262	0.0596884	48.6748
-0.5534	-0.0149804	48.7135
-0.5742	0.0153727	48.7736
-0.4143	-0.779004	48.8751
-0.299	-0.176087	48.936
-0.1965	-0.209208	48.7317
-0.116	-0.164258	48.7354
-0.0585	-0.129851	48.7781
-0.0267	-0.0829519	48.833
-0.0203	-0.0393515	48.8927
-0.0374	0.000602184	48.9545
-0.0601	-0.0316118	48.9954
-0.1277	0.158404	49.0541
-0.0553	-0.571301	49.1138
-0.006	-0.157429	49.1407
0.017	-0.0756771	49.0371
0.0301	-0.0997908	49.0597
0.0229	-0.039031	49.1185
-0.0038	0.000310592	49.1754
-0.048	0.0345072	49.2348
-0.1052	0.0565302	49.2929
-0.1704	0.0696016	49.3483
-0.2388	0.0754073	49.4018
-0.3059	0.0740722	49.4546
-0.348	-0.023124	49.4897
-0.4047	0.111835	49.543
-0.4563	0.0713186	49.5981
-0.4981	0.0480321	49.6444
-0.5264	0.0206037	49.6975
-0.5188	-0.100992	49.7526
-0.462	-0.235949	49.7898
-0.3678	-0.29104	49.8341
-0.2807	-0.176683	49.8397
-0.2157	-0.100656	49.8333
-0.1758	-0.0513838	49.8763
-0.1616	-0.00549854	49.9127
-0.1555	-0.0369323	49.9677
-0.1598	-0.014925	50.0027
-0.1779	0.0224665	50.0567
-0.2081	0.0466234	50.1101
-0.2464	0.0583997	50.1611
-0.2742	-0.00278835	50.1938
-0.3159	0.0896834	50.242
-0.3576	0.0677948	50.2938
-0.3949	0.0545701	50.3383
