Kp:	0.3	Ki:	0.0075	Kd:	0.6
cte	steer_value
0.1018	-0.0221519	31.2307
0.0893	-0.0184979	31.3431
0.0744	-0.0138716	31.4548
0.0636	-0.0362804	31.5289
0.0463	0.00421816	31.6393
0.0339	-0.0295298	31.7125
0.015	0.0126002	31.8214
-0.0046	0.00478427	31.9299
-0.0175	-0.024716	32.0015
-0.0362	0.0197553	32.1087
-0.0548	0.0105499	32.2155
-0.0721	0.00761541	32.3209
-0.0815	-0.0216506	32.3911
-0.0851	-0.0269184	32.4961
-0.0632	-0.126331	32.6005
-0.0447	-0.053205	32.6696
-0.0211	-0.082695	32.7627
-0.0081	-0.0271847	32.8308
0.0077	-0.0664639	32.9315
0.0204	-0.0507875	33.0332
0.0268	-0.031656	33.1002
0.0334	-0.0493717	33.201
0.0369	-0.037486	33.3012
0.0375	-0.0325381	33.3675
0.0358	-0.0298313	33.4666
0.0332	-0.0316174	33.5324
0.0272	-0.0184474	33.6305
0.0157	-0.000716196	33.7604
0.0049	-0.0154616	33.857
-0.0027	-0.0274094	33.9209
-0.0145	0.000726948	34.0165
-0.023	-0.0212634	34.0799
-0.0357	0.00654868	34.1743
-0.0486	0.000643609	34.2683
-0.0569	-0.0188311	34.3304
-0.0722	0.0255161	34.4542
-0.0892	0.0207268	34.607
-0.0959	-0.0277489	34.6974
-0.0984	-0.021218	34.7577
-0.1004	-0.0107306	34.8178
-0.0984	-0.0259615	34.9077
-0.0868	-0.0598849	34.9674
-0.0216	-0.281457	35.0565
0.0499	-0.19354	35.1436
0.0906	-0.042102	35.1605
0.1387	-0.15461	35.231
0.1654	-0.0554844	35.2887
0.187	-0.0877606	35.3427
0.2122	-0.125068	35.4299
0.2241	-0.0631188	35.4874
0.231	-0.07444	35.5426
0.2338	-0.0723926	35.6287
0.2308	-0.0583733	35.6856
0.2191	-0.033818	35.7704
0.2067	-0.0510347	35.8268
0.1915	-0.0401891	35.883
0.1632	0.0145172	35.9666
0.141	-0.0399671	36.0221
0.1175	-0.0185163	36.0761
0.0789	0.0519313	36.1581
0.0511	-0.0259417	36.2127
0.0236	0.000425565	36.2639
-0.0187	0.0752989	36.3445
-0.0475	-0.0126605	36.3982
-0.0871	0.0711162	36.4721
-0.1167	0.0104297	36.5514
-0.1227	-0.0688028	36.6013
-0.1205	-0.0467396	36.6801
-0.1182	-0.0230113	36.7546
-0.1176	-0.0130735	36.8059
-0.1169	-0.0170436	36.8835
-0.1163	-0.0163635	36.935
-0.1152	-0.0185537	37.012
-0.1144	-0.015806	37.063
-0.1134	-0.0170517	37.1138
-0.1113	-0.0213851	37.2148
-0.1101	-0.0146448	37.265
-0.1089	-0.0163749	37.315
-0.107	-0.0195285	37.3896
-0.1049	-0.0187521	37.4637
-0.1035	-0.014974	37.5128
-0.1021	-0.0164601	37.5618
-0.0998	-0.0205597	37.6348
-0.0983	-0.0148734	37.6833
-0.0959	-0.0205945	37.7556
-0.0927	-0.0223323	37.8274
-0.0752	-0.085423	37.8751
0.0193	-0.403834	37.9462
0.0986	-0.167828	38.0132
0.1568	-0.108362	37.9603
0.1828	-0.0255993	37.9997
0.2092	-0.113538	38.0705
0.2205	-0.0564951	38.1162
0.2265	-0.0716446	38.1847
0.2237	-0.0492293	38.2314
0.2102	-0.0230943	38.3009
0.1864	-0.00172447	38.37
0.1661	-0.040387	38.4154
0.1311	0.0356617	38.4824
0.0903	0.0338503	38.5496
0.0615	-0.0297137	38.5922
0.0183	0.0679382	38.6566
-0.0112	-0.0179389	38.7003
-0.053	0.0733576	38.7612
-0.0933	0.0480382	38.8262
-0.118	-0.0133564	38.8663
-0.1502	0.062873	38.9294
-0.1788	0.0385189	38.9937
-0.1949	-0.00476404	39.0344
-0.2134	0.0401225	39.0974
-0.2269	0.018556	39.1609
-0.2328	-0.00092984	39.2023
-0.2365	0.0100303	39.265
-0.2398	0.0165714	39.3276
-0.1446	-0.427342	39.3897
-0.0192	-0.348619	39.4512
0.0576	-0.061256	39.39
0.1504	-0.256338	39.3636
0.2023	-0.0599497	39.4014
0.2618	-0.199541	39.4378
0.3034	-0.120396	39.4987
0.3253	-0.0816138	39.5487
0.3284	-0.0517569	39.5895
0.3122	-0.0146286	39.6722
0.2943	-0.0546887	39.7129
0.2585	0.0207356	39.7721
0.2122	0.0311821	39.8316
0.1592	0.0412137	39.8882
0.1366	-0.10542	39.9255
0.1377	-0.138677	39.9811
0.14	-0.082946	40.03
0.1353	-0.0442244	40.0597
0.1199	-0.0112094	40.1148
0.1051	-0.03809	40.153
0.0785	0.0171121	40.2098
0.0467	0.0174779	40.2663
0.012	0.0219093	40.3212
-0.0115	-0.0304101	40.3578
-0.0463	0.0512415	40.4124
-0.0818	0.0365881	40.4673
-0.1153	0.0309043	40.519
-0.143	0.0158356	40.5723
-0.1018	-0.276887	40.6259
-0.0242	-0.285221	40.6619
0.0782	-0.312772	40.6446
0.1583	-0.164487	40.6437
0.2096	-0.0969729	40.6481
0.229	-0.0348628	40.682
0.2414	-0.0891043	40.7378
0.2379	-0.0434859	40.7909
0.2269	-0.0492372	40.8265
0.1989	0.00813984	40.8801
0.1585	0.027017	40.9332
0.1264	-0.0363474	40.967
0.0742	0.0774584	41.0161
0.0362	-0.0235074	41.0501
-0.0207	0.0991864	41.0937
-0.0785	0.0718861	41.1437
-0.1155	-0.0167901	41.171
-0.1658	0.0998318	41.2174
-0.1972	-0.00320848	41.2503
-0.2374	0.0859391	41.293
-0.2707	0.0458313	41.3424
-0.2883	-0.00313366	41.3722
-0.3069	0.044237	41.4208
-0.3182	0.0165921	41.4699
-0.3203	-0.00445729	41.5017
-0.2815	-0.165232	41.5504
-0.1517	-0.485733	41.5988
-0.0206	-0.292219	41.6232
0.0549	-0.0434061	41.5409
0.1452	-0.255043	41.5367
0.1951	-0.0650954	41.5659
0.2497	-0.190319	41.5893
0.2836	-0.104291	41.6373
0.2956	-0.0611731	41.6758
0.2855	-0.020144	41.7247
0.3051	-0.210967	41.7733
0.4191	-0.578533	41.8201
0.49	-0.17735	41.8341
0.5599	-0.271422	41.6713
0.591	-0.119987	41.7073
0.5855	-0.0546828	41.7347
0.5468	0.000550006	41.7855
0.4825	0.0356847	41.8347
0.4288	-0.0696744	41.8641
0.3376	0.128647	41.9044
0.2691	-0.0454326	41.9338
0.1636	0.18109	41.9576
0.0533	0.138573	41.9994
-0.0519	0.118005	42.0132
0.0332	-0.714665	42.0457
0.1522	-0.433364	42.0849
0.2288	-0.146893	41.9559
0.3213	-0.325257	41.8089
0.3914	-0.212248	41.8426
0.4236	-0.105661	41.8336
0.4483	-0.173243	41.8673
0.4494	-0.0980105	41.9154
0.4262	-0.0476145	41.9564
0.4282	-0.221433	41.9882
0.4951	-0.463349	42.0349
0.5528	-0.278059	42.0572
0.5681	-0.107539	41.9655
0.5385	-0.00996785	41.9884
0.4991	-0.0764942	42.0219
0.4202	0.0757603	42.0635
0.355	-0.0691514	42.0944
0.2467	0.162048	42.1241
0.1246	0.144337	42.1662
-0.0009	0.141675	42.1779
-0.0816	-0.0490967	42.1942
-0.1951	0.220556	42.2246
-0.3057	0.160721	42.2609
-0.404	0.128329	42.2663
-0.4318	-0.142098	42.2862
-0.2368	-0.976808	42.3249
-0.0089	-0.620913	42.3351
0.1366	-0.168069	42.1953
0.3299	-0.598261	41.9511
0.4975	-0.421724	41.9757
0.6251	-0.326832	41.8195
0.7008	-0.217038	41.793
