Kp:	0.3	Ki:	0.0075	Kd:	0.6
cte	steer_value
3.4209	-1.18502	28.0846
3.2225	-1.17444	27.9674
3.1251	-1.22926	27.638
3.0366	-1.23083	27.6416
1.9638	-0.333136	27.5889
1.5821	-0.645152	27.7226
1.1835	-0.524308	27.8955
0.5558	-0.202706	28.0447
-0.1034	0.0147293	28.2043
-0.7832	0.236903	28.3706
-1.2421	0.251349	28.4193
-1.9311	0.610592	28.422
-2.6163	0.833494	28.4406
-3.0665	0.850553	28.3327
-3.7116	1.18886	27.7164
-4.1146	1.19536	27.4416
-4.6769	1.49471	26.6606
-5.0253	1.50858	26.4956
-5.5155	1.78208	26.2158
-5.8289	1.81374	25.9057
-6.2852	2.08351	25.6071
-6.588	2.13166	25.4619
-7.0274	2.39814	25.2689
-7.4447	2.56591	25.0272
-7.7177	2.61911	24.8675
-8.1231	2.8811	24.8199
-8.5017	3.04236	24.4779
-8.8278	3.1749	24.1175
-9.0812	3.27541	24.0015
-9.2606	3.35428	23.3657
-9.4122	3.45367	23.2409
-9.5081	3.52033	23.2058
-9.6468	3.65997	23.3189
-9.7463	3.7394	23.6386
-9.7597	3.76496	23.3917
-9.7019	3.77766	22.8139
-9.5637	3.75969	22.5323
-9.3469	3.71759	22.2718
-9.1575	3.74589	22.1004
-8.8088	3.61177	21.8454
-8.3912	3.50808	21.6275
-8.0808	3.53989	21.5458
-7.7516	3.48799	21.4469
-7.5572	3.56723	4.607
-7.5206	3.70733	2.895
-7.4967	3.764	2.3299
-7.4693	3.8097	1.5468
-7.4581	3.872	1.0521
-7.4539	3.93084	0.5912
-7.4536	3.989	0.0581
-7.4535	4.04499	0.0345
-7.4535	4.10095	0.0091
-7.4534	4.15676	0.0074
-7.4534	4.21272	0.012
-7.4535	4.26871	0.0104
-7.4535	4.32455	0.0108
-7.4536	4.38054	0.0056
-7.4535	4.4363	0.0037
-7.4536	4.49235	0.0117
-7.4535	4.5481	0.0082
-7.4535	4.60406	0.002
-7.4535	4.65996	0.0091
-7.4535	4.71586	0.0034
-7.4536	4.77185	0.0051
-7.4536	4.8277	0.0019
-7.4536	4.8836	0.0066
-7.4536	4.9395	0.0069
-7.4536	4.9954	0.0023
-7.4536	5.0513	0.0053
-7.4536	5.10721	0.0081
-7.4536	5.16311	0.0054
-7.4536	5.21901	0.0022
-7.4536	5.27491	0.0071
-7.4536	5.33081	0.0022
-7.4536	5.38672	0.0069
-7.4537	5.44271	0.0044
-7.4536	5.49846	0.0057
-7.4536	5.55442	0.0027
